station_mac,manufacturer,bssid,avg_power,total_packets
4E:98:AA:FF:EE:A7,NA,E8:28:C1:DD:04:41,-63,21
8E:05:C4:22:35:09,NA,00:25:00:FF:94:73,-67,21
AA:C6:D1:90:A7:54,NA,(not associated),-59,21
00:04:35:22:4F:75,InfiNet LLC,00:AB:0A:00:10:10,-83,20
5A:32:38:92:E1:76,NA,(not associated),-57,20
66:80:B5:77:58:D5,NA,(not associated),-59,20
8A:CE:15:ED:E5:D1,NA,E8:28:C1:DC:B2:52,-47,20
A6:B3:B2:D5:74:E9,NA,E8:28:C1:DC:B2:52,-75,20
E6:9D:B2:86:2E:11,NA,(not associated),-47,20
3E:B1:6E:D3:C5:90,NA,(not associated),-57,19
4A:8E:4D:41:94:7E,NA,00:26:99:BA:75:80,-81,19
5E:EC:ED:6F:3A:6D,NA,(not associated),-51,19
6E:D0:C2:7E:96:8B,NA,00:26:99:BA:75:80,-69,19
AE:E0:72:05:57:D6,NA,(not associated),-61,19
CE:66:65:64:9B:94,NA,(not associated),-49,19
E6:DB:06:42:A9:3E,NA,(not associated),-47,19
02:9D:D5:DA:F9:E4,NA,(not associated),-65,18
16:B5:0B:1C:FA:34,NA,(not associated),-59,18
1E:8B:23:B0:E5:C1,NA,(not associated),-57,18
66:3C:42:78:1F:3F,NA,(not associated),-55,18
6A:01:63:0E:AE:15,NA,(not associated),-33,18
6E:5C:63:8E:9B:EA,NA,00:25:00:FF:94:73,-73,18
92:DD:E2:97:D5:02,NA,(not associated),-53,18
C2:22:8E:5C:04:DE,NA,(not associated),-33,18
CE:38:B6:BF:98:DB,NA,(not associated),-47,18
E4:8D:8C:4D:06:A1,Routerboard.com,(not associated),-71,18
26:48:88:10:40:45,NA,(not associated),-53,17
36:6B:C9:4D:1C:EF,NA,(not associated),-55,17
5E:45:C1:79:47:AA,NA,(not associated),-69,17
66:34:45:78:76:02,NA,(not associated),-55,17
8E:30:29:C4:30:55,NA,(not associated),-57,17
CA:43:FE:36:18:02,NA,(not associated),-47,17
CE:08:2D:5E:28:52,NA,(not associated),-51,17
DA:38:F1:F9:29:AE,NA,(not associated),-51,17
F2:CD:89:ED:48:43,NA,(not associated),-53,17
00:90:4C:E6:54:54,"Epigram, Inc.",(not associated),-65,16
0E:AD:54:09:04:37,NA,00:26:99:F2:7A:E2,-71,16
4E:17:97:2F:9E:8A,NA,(not associated),-57,16
A4:02:B9:72:9A:07,Intel Corporate,(not associated),-63,16
A4:02:B9:73:2D:A5,Intel Corporate,(not associated),-67,16
A6:BA:B5:78:66:6F,NA,(not associated),-55,16
B2:30:DB:40:AA:C0,NA,(not associated),-53,16
DA:01:FA:06:94:13,NA,E8:28:C1:DC:F0:90,-65,16
DA:A1:19:4B:61:5E,NA,(not associated),-63,16
E0:D4:E8:EF:87:EC,Intel Corporate,(not associated),-71,16
E2:00:49:C9:EB:BC,NA,(not associated),-47,16
F2:B3:72:A6:4D:EF,NA,(not associated),-55,16
F6:95:8B:6E:D9:20,NA,(not associated),-59,16
16:70:F6:66:E9:47,NA,(not associated),-51,15
1A:3F:00:4D:F9:BB,NA,(not associated),-57,15
1E:89:B6:FE:E0:01,NA,(not associated),-45,15
2E:AA:E3:76:C3:34,NA,(not associated),-45,15
46:DE:A0:6B:8B:BA,NA,(not associated),-59,15
4A:DB:1E:BC:58:18,NA,(not associated),-51,15
5A:D1:7D:42:07:D6,NA,(not associated),-25,15
66:B6:11:58:6E:F7,NA,(not associated),-53,15
9E:87:23:50:C0:54,NA,(not associated),-53,15
A2:D2:22:A7:E1:BB,NA,E0:D9:E3:49:04:52,-69,15
A4:02:B9:73:81:60,Intel Corporate,(not associated),-63,15
AA:DA:41:69:61:CF,NA,(not associated),-57,15
C4:75:AB:E5:6E:EC,Intel Corporate,22:C9:7F:A9:BA:9C,-63,15
CE:EA:0C:D4:75:52,NA,(not associated),-57,15
1A:0E:01:74:51:DF,NA,(not associated),-45,14
1A:E5:74:6F:6F:EC,NA,(not associated),-51,14
1C:E6:1D:3B:A2:C6,"Samsung Electronics Co.,Ltd",(not associated),-63,14
26:57:A7:54:0B:B3,NA,E8:28:C1:DC:B2:52,-59,14
32:D4:C3:E8:BD:CB,NA,(not associated),-57,14
3A:64:91:6A:77:67,NA,(not associated),-41,14
3A:9D:9B:FD:38:A2,NA,(not associated),-63,14
72:BF:A0:75:12:46,NA,(not associated),-49,14
7E:DA:0A:05:6C:D5,NA,(not associated),-31,14
82:ED:3B:DD:44:66,NA,(not associated),-59,14
8E:6D:9B:C8:FF:9B,NA,(not associated),-27,14
9E:A3:A9:DB:7E:01,NA,08:3A:2F:56:35:FE,-71,14
A2:42:C2:BC:6F:AB,NA,(not associated),-45,14
A2:7F:AA:58:73:CA,NA,(not associated),-47,14
AA:E7:9F:D9:97:15,NA,(not associated),-61,14
C4:D0:E3:5B:B4:6D,Intel Corporate,92:12:38:E5:7E:1E,-88,14
DA:A1:19:BD:9E:C4,NA,(not associated),-47,14
F6:53:EC:C0:A0:AD,NA,(not associated),-49,14
FE:07:87:5B:82:33,NA,(not associated),-31,14
0E:51:8E:3D:21:5B,NA,(not associated),-29,13
12:F1:48:22:21:75,NA,(not associated),-47,13
1A:1B:84:1B:16:8B,NA,(not associated),-57,13
1E:D6:E7:07:5B:C4,NA,(not associated),-53,13
26:56:18:CC:76:90,NA,(not associated),-33,13
52:C5:6C:FD:7C:15,NA,(not associated),-33,13
5A:2E:76:89:0C:88,NA,(not associated),-59,13
5A:DD:1A:8B:40:12,NA,(not associated),-51,13
5E:5D:5C:1B:E7:89,NA,(not associated),-55,13
76:A0:F6:0C:37:31,NA,(not associated),-53,13
7E:F9:46:23:1B:1B,NA,(not associated),-49,13
92:E2:12:3B:73:56,NA,(not associated),-49,13
9E:42:66:80:04:FA,NA,(not associated),-49,13
A2:67:F9:2B:DA:43,NA,(not associated),-59,13
BA:7E:69:B6:2C:68,NA,(not associated),-27,13
BC:F1:71:D4:DA:91,Intel Corporate,(not associated),-61,13
BE:11:EE:B7:A0:03,NA,(not associated),-65,13
C6:91:67:2C:67:8F,NA,(not associated),-67,13
D2:E0:03:96:71:C7,NA,(not associated),-63,13
D2:F2:47:F7:CC:AE,NA,(not associated),-27,13
E6:E8:35:DB:D0:4C,NA,(not associated),-55,13
F6:BD:51:00:5C:45,NA,(not associated),-49,13
FA:E5:B5:5A:51:4F,NA,(not associated),-67,13
06:01:2B:F8:74:A0,NA,(not associated),-53,12
06:15:2E:12:C8:A6,NA,E8:28:C1:DD:04:40,-63,12
06:CE:0B:EE:66:2E,NA,(not associated),-53,12
16:A8:0D:6D:E4:E5,NA,(not associated),-55,12
16:BE:8A:49:61:6D,NA,(not associated),-57,12
26:39:A7:51:29:F6,NA,(not associated),-55,12
3E:DB:88:0B:E6:FE,NA,86:DF:BF:E4:2F:23,-71,12
3E:F0:DC:A6:90:26,NA,(not associated),-55,12
3E:FF:DA:75:17:38,NA,(not associated),-59,12
56:44:BD:82:79:99,NA,(not associated),-53,12
56:C5:2B:9F:84:90,NA,(not associated),-43,12
5E:B4:4F:99:2D:56,NA,(not associated),-51,12
5E:C0:A3:79:C7:48,NA,E8:28:C1:DC:B2:52,-63,12
6A:24:D8:0F:CC:F8,NA,(not associated),-55,12
6A:AE:70:91:03:48,NA,E8:28:C1:DC:B2:41,-63,12
72:58:69:DB:59:C7,NA,E8:28:C1:DC:F0:90,-69,12
